,names,narr_names,general,vascular,neoplasm,immune/infection/inflammatory,congenital,trauma,surgical,pregnant,variants
	Female  with clinically  significant  breast  pain  (focal and  noncyclical).  Age 30 to 39.  Initial  imaging. 
	Female  with  clinically  significant  breast  pain  (focal  and  noncyclical).  Age  greater  than  or  equal to 40. Initial imaging. 
"
4,01_05.txt,Evaluation of Nipple Discharge,x,,,,,,,,"	Physiologic nipple discharge. Female of any age. Initial imaging examination. 
	Pathologic  nipple  discharge.  Male  or  female  40  years  of  age  or  older.  Initial  imaging  examination. 
	Pathologic  nipple  discharge.  Male  or  female  30  to  39  years  of  age.  Initial  imaging  examination. 
	Pathologic  nipple  discharge.  Female  younger  than  30  years  of  age.  Initial  imaging examination.
	Pathologic nipple discharge. Male younger than 30 years of age. Initial imaging examination. 
"
5,01_06.txt,Evaluation of the Symptomatic Male Breast,,,x,,,,,,"	Male patient of any age with symptoms of gynecomastia and physical examination consistent  with gynecomastia or pseudogynecomastia. Initial imaging. 
	Male younger than 25 years of age with indeterminate palpable breast mass. Initial imaging. 
	Male 25 years of age or older with indeterminate palpable breast mass. Initial imaging. 
	Male 25 years of age or older with indeterminate palpable breast mass. Mammography or  digital breast tomosynthesis indeterminate or suspicious. 
	Male of any age with physical examination suspicious for breast cancer (suspicious palpable  breast mass, axillary adenopathy, nipple discharge, or nipple retraction). Initial imaging. 
"
6,01_07.txt,Monitoring Response to Neoadjuvant Systemic Therapy for Breast Cancer,,,x,,,,,,"	Initial  determination  of  tumor  size  and  extent  within  the  breast  prior  to  neoadjuvant  chemotherapy. Initial imaging examination. 
	Imaging  of  the  breast  after  initiation  or  completion  of  neoadjuvant  chemotherapy.  Initial  imaging examination. 
	Known  breast  cancer.  Axillary  evaluation  prior  to  neoadjuvant  chemotherapy.  Initial  imaging examination. 
	Known  breast  cancer.  Axillary  evaluation  after  completion  of  neoadjuvant  chemotherapy,  axilla not previously evaluated. Initial imaging examination. 
	Known breast cancer with clinical suspicion of metastatic disease. Staging or assessment of  response to neoadjuvant chemotherapy. Initial imaging examination. 
"
7,01_08.txt,Palpable Breast Masses,,,x,,,,,,"	Palpable breast mass. Female, 40 years of age or older, initial evaluation.
	Palpable breast mass. Female, 40 years of age or older, mammography findings suspicious  for malignancy. Next examination to perform.
	Palpable breast mass. Female, 40 years of age or older, mammography findings probably benign. Next examination to perform.
	Palpable breast mass. Female, 40 years of age or older, mammography findings benign (like  lipoma) at site of palpable mass. Next examination to perform.
	Palpable breast mass. Female, 40 years of age or older, mammography findings negative. Next examination to perform.
	Palpable  breast  mass.  Female,  younger  than  30  years  of  age,  initial  evaluation.
	Palpable  breast  mass.  Female,  younger  than  30  years  of  age,  US  findings  suspicious  for  malignancy.  Next  examination  to  perform.
	Palpable breast mass. Female, younger than 30 years of age, US findings probably benign.  Next examination to perform.
	Palpable breast mass. Female, younger than 30 years of age, US findings benign (like simple  cyst). Next examination to perform. 
	Palpable  breast  mass.  Female,  younger  than  30  years  of  age,  US  findings  negative.  Next  examination to perform. 
	Palpable breast mass. Female, 30 to 39 years of age, initial evaluation.
"
8,01_09.txt,Stage I Breast Cancer: Initial Workup and Surveillance for Local Recurrence and Distant Metastases in Asymptomatic Women,,,x,,,,,,"	Newly  diagnosed.  Stage  I  breast  cancer.  Asymptomatic.  Rule  out  bone  metastases.  Initial  imaging. 
	Newly diagnosed. Stage I breast cancer. Asymptomatic. Rule out thoracic metastases. Initial  imaging. 
	Newly  diagnosed.  Stage  I  breast  cancer.  Asymptomatic.  Rule  out  abdominal  metastases.  Initial imaging. 
	Newly  diagnosed.  Stage  I  breast  cancer.  Asymptomatic.  Rule  out  brain  metastases.  Initial  imaging. 
	Surveillance. Stage I breast cancer. Asymptomatic. Rule out bone, thoracic, abdominal, and  brain metastases. Initial imaging. 
	Surveillance. Stage I breast cancer. Asymptomatic. Rule out local recurrence. 
"
9,02_01.txt,Acute Chest Pain â€” Suspected Aortic Dissection,,x,,,,,,,"	Acute Chest Pain â€” Suspected Aortic Dissection 
"
10,02_02.txt,Acute Nonspecific Chest Pain â€” Low Probability of Coronary Artery Disease,x,,,,,,,,"	Acute Nonspecific Chest Painâ€”Low Probability of Coronary Artery Disease 
"
11,02_03.txt,Asymptomatic Patient at Risk for Coronary Artery Disease,,x,,,,,,,"	Asymptomatic Patient at Risk for Coronary Artery Disease  Low risk. 
	Asymptomatic Patient at Risk for Coronary Artery Disease  Intermediate risk. 
	Asymptomatic Patient at Risk for Coronary Artery Disease  High risk. 
"
12,02_04.txt,Blunt Chest Trauma,,,,,,x,,,"	Blunt Chest Trauma  First-line evaluation. High-energy mechanism. 
	Normal  anteroposterior  (AP)  chest  radiograph,  normal  examination,  and  normal  mental  status. No high-energy mechanism. 
	Blunt Chest Trauma  Clinically suspected cardiac injury after initial imaging and clinical evaluation. 
"
13,02_05.txt,Chest Pain-Possible Acute Coronary Syndrome,,x,,,,,,,"	Chest pain, low to intermediate probability for acute coronary syndrome. Initial imaging. 
	Chest pain, high probability for acute coronary syndrome. Initial imaging. 
"
14,02_06.txt,Chronic Chest Painâ€”High Probability of Coronary Artery Disease,,x,,,,,,,"	Chronic chest pain; high probability of coronary artery disease. 
"
15,02_07.txt,Chronic Chest Pain-Noncardiac Etiology Unlikely: Low to Intermediate Probability of Coronary Artery Disease,,x,,,,,,,"	Chronic  chest  pain,  noncardiac  etiology  unlikely:  low  to  intermediate  probability  of  coronary artery disease. Initial imaging. 
"
16,02_08.txt,Dyspnea-Suspected Cardiac Origin,x,,,,,,,,"	Dyspnea due to heart failure. Ischemia not excluded. 
	Dyspnea due to suspected nonischemic heart failure. Ischemia excluded. 
	Dyspnea due to suspected valvular heart disease. Ischemia excluded. 
	Dyspnea due to suspected cardiac arrhythmia. Ischemia excluded. 
	Dyspnea due to suspected pericardial disease. Ischemia excluded. 
"
17,02_09.txt,Imaging for Transcatheter Aortic Valve Replacement,,,,,,,x,,"	Preintervention  planning  for  transcatheter  aortic  valve  replacement  at  the  aortic  valve  plane. 
	Preintervention  planning  for  transcatheter  aortic  valve  replacement  in  the  supravalvular  aorta and iliofemoral system. 
"
18,02_10.txt,Known or Suspected Congenital Heart Disease in the Adult,,,,,x,,,,"	Known or suspected congenital heart disease in the adult. 
"
19,02_11.txt,Nonischemic Myocardial Disease with Clinical Manifestations (Ischemic Cardiomyopathy Already Excluded),x,,,,,,,,"	Nonischemic  Myocardial  Disease  with  Clinical  Manifestations  (Ischemic  Cardiomyopathy  Already Excluded)  Suspected arrhythmogenic cardiomyopathy. 
	Nonischemic  Myocardial  Disease  with  Clinical  Manifestations  (Ischemic  Cardiomyopathy  Already Excluded)  Suspected myocardial infiltrative disease. 
	Nonischemic  Myocardial  Disease  with  Clinical  Manifestations  (Ischemic  Cardiomyopathy  Already Excluded)  Suspected hypertrophic cardiomyopathy. 
	Nonischemic  Myocardial  Disease  with  Clinical  Manifestations  (Ischemic  Cardiomyopathy  Already Excluded)  Suspected acute/subacute myocardial disease. 
"
20,02_12.txt,Suspected Infective Endocarditis,,,,x,,,,,"	Suspected Infective Endocarditis 
"
21,02_13.txt,Suspected New-Onset and Known Nonacute Heart Failure,x,,,,,,,,"	Suspected new-onset nonacute heart failure, not previously diagnosed. Initial imaging. 
	Differentiating  new-onset heart failure  with  reduced  ejection  fraction  (HFrEF) from  new- onset heart failure with preserved ejection fraction (HFpEF). 
	Confirmed  new-onset  heart  failure  with  reduced  ejection  fraction  of  uncertain  etiology:  ischemic versus nonischemic. 
"
22,02_14.txt,Suspected Pulmonary Embolism,,x,,,,,,x,"	Suspected pulmonary embolism. Intermediate probability with a negative D-dimer or low  pretest probability. 
	Suspected pulmonary embolism. Intermediate probability with a positive D-dimer or high  pretest probability. 
	Suspected pulmonary embolism. Pregnant patient. 
"
23,03_01.txt,Acute Nonlocalized Abdominal Pain,x,,,,,,,,"	Acute nonlocalized abdominal pain and fever. No recent surgery. Initial imaging. 
	Acute nonlocalized abdominal pain and fever. Postoperative patient. Initial imaging. 
	Acute nonlocalized abdominal pain. Neutropenic patient. Initial imaging. 
	Acute nonlocalized abdominal pain. Not otherwise specified. Initial imaging. 
"
24,03_02.txt,Acute Pancreatitis,,,,x,,,,,"	Suspected acute pancreatitis. First-time presentation. Epigastric pain and increased amylase  and lipase. Less than 48 to 72 hours after symptom onset. Initial imaging. 
	Suspected  acute  pancreatitis.  Initial  presentation  with  atypical  signs  and  symptoms;  including equivocal amylase and lipase values (possibly confounded by acute kidney injury  or  chronic  kidney  disease)  and  when  diagnoses  other  than  pancreatitis  may  be  possible  (bowel perforation, bowel ischemia, etc). Initial imaging. 
	Acute  pancreatitis.  Critically  ill,  systemic  inflammatory  response  syndrome  (SIRS),  severe  clinical  scores  (eg,  Acute  Physiology,  Age,  and  Chronic  Health  Evaluation  [APACHE]-II,  Bedside Index for Severity in AP [BISAP], or Marshall). Greater than 48 to 72 hours after  onset of symptoms. 
	Acute pancreatitis. Continued SIRS, severe clinical scores, leukocytosis, and fever. Greater  than 7 to 21 days after onset of symptoms. 
	Known necrotizing pancreatitis. Significant deterioration in clinical status, including abrupt  decrease in hemoglobin or hematocrit, hypotension, tachycardia, tachypnea, abrupt change  in fever curve, or increase in white blood cells. 
	Acute  pancreatitis.  Known  pancreatic  or  peripancreatic  fluid  collections  with  continued  abdominal pain, early satiety, nausea, vomiting, or signs of infection. Greater than 4 weeks  after symptom onset. 
"
25,03_03.txt,Chronic Liver Disease,x,,,,,,,,"	Chronic liver disease. Diagnosing liver fibrosis. 
	Chronic liver disease. Screening and surveillance for hepatocellular carcinoma (HCC). No  prior diagnosis of HCC. 
	Chronic liver disease. Surveillance for hepatocellular carcinoma (HCC). Previous diagnosis  of HCC. 
"
26,03_04.txt,Colorectal Cancer Screening,,,x,,,,,,"	Colorectal cancer screening. Average-risk individual. Age greater than or equal to 50 years.  Initial screening, then follow-up every 5 years after initial negative screen. 
	Colorectal cancer screening. Moderate-risk individual. First-degree family history of cancer  or adenoma. Initial screening, then follow-up every 5 years after initial negative screen. 
	Colorectal cancer detection. Moderate-risk individual. Average-risk individual after positive  fecal  occult  blood  test  (FOBT)  or  positive  fecal  immunochemical  test  indicating  a  relative  elevation in risk. 
	Colorectal  cancer  screening.  High-risk  individual.  Hereditary  nonpolyposis  colorectal  cancer; ulcerative colitis or Crohn colitis. 
	Colorectal cancer screening. Average-, moderate-, or high-risk individual after incomplete  colonoscopy. 
"
27,03_05.txt,Crohn Disease,,,,x,,,,,"	Suspected Crohn disease, no prior Crohn diagnosis. Initial imaging. 
	Known Crohn disease, suspected acute exacerbation. 
	Known Crohn disease, disease surveillance; monitoring therapy. 
"
28,03_06.txt,Dysphagia,x,,,,,,,,"	Oropharyngeal dysphagia with an attributable cause. Initial imaging. 
	Unexplained oropharyngeal dysphagia. Initial imaging. 
	Retrosternal dysphagia in immunocompetent patients. Initial imaging. 
	Retrosternal dysphagia in immunocompromised patients. Initial imaging. 
	Early postoperative dysphagia. Oropharyngeal or retrosternal. Initial imaging. 
	Delayed (greater than 1 month) postoperative development of dysphagia. Oropharyngeal or  retrosternal. Initial imaging. 
"
29,03_07.txt,Imaging of Mesenteric Ischemia,,x,,,,,,,"	Suspected acute mesenteric ischemia. Initial imaging. 
	Suspected chronic mesenteric ischemia. Initial imaging. 
"
30,03_08.txt,Jaundice,x,,,,,,,,"	Jaundice. No known predisposing conditions. Initial imaging. 
	Jaundice. Suspected mechanical obstruction based on initial imaging, clinical condition, or  laboratory values. 
	Jaundice.  Suspected  medical,  metabolic,  or  functional  etiologies  based  on  initial  imaging,  clinical condition, or laboratory values. No suspected mechanical obstruction. 
"
31,03_09.txt,Left Lower Quadrant Pain â€” Suspected Diverticulitis,x,,,,,,,,"	Left lower quadrant pain. Suspected diverticulitis. Initial imaging. 
	Left lower quadrant pain. Suspected complications of diverticulitis. 
"
32,03_10.txt,Liver Lesion â€” Initial Characterization,,,x,,,,,,"	Indeterminate >1 cm lesion on initial imaging with ultrasound. Normal liver. (No suspicion  or evidence of extrahepatic malignancy or underlying liver disease.) 
	Indeterminate >1 cm lesion on initial imaging with CT (without or with contrast). Normal  liver. (No suspicion or evidence of extrahepatic malignancy or underlying liver disease.) 
	Indeterminate  >1  cm  lesion  on  initial  imaging  with  noncontrast-enhanced  MRI.  Normal  liver. (No suspicion or evidence of extrahepatic malignancy or underlying liver disease.) 
	Indeterminate  >1  cm  lesion  on  initial  imaging  with  ultrasound.  Known  history  of  an  extrahepatic malignancy. 
	Indeterminate >1 cm lesion on initial imaging with CT (without or with contrast). Known  history of an extrahepatic malignancy. 
	Indeterminate  >1  cm  lesion  on  initial  imaging  with  noncontrast-enhanced  MRI.  Known  history of an extrahepatic malignancy. 
	Indeterminate  >1  cm  lesion  on  initial  imaging  with  ultrasound.  Known  or  suspected  liver  disease associated with a high risk of hepatocellular carcinoma (chronic hepatitis, cirrhosis,  hemochromatosis, etc.) 
	Indeterminate >1 cm lesion on initial imaging with CT (without or with contrast). Known or  suspected  liver  disease  associated  with  a  high  risk  of  hepatocellular  carcinoma  (chronic  hepatitis, cirrhosis, hemochromatosis, etc.) 
	Indeterminate >1 cm lesion on initial imaging with noncontrast-enhanced MRI. Known or  suspected  liver  disease  associated  with  a  high  risk  of  hepatocellular  carcinoma  (chronic  hepatitis, cirrhosis, hemochromatosis, etc.) 
	Indeterminate <1 cm lesion on initial imaging with ultrasound. Normal liver. (No suspicion  or evidence of extrahepatic malignancy or underlying liver disease.) 
	Indeterminate <1 cm lesion on initial imaging with CT (without or with contrast). Normal  liver. (No suspicion or evidence of extrahepatic malignancy or underlying liver disease.) 
	Indeterminate  <1  cm  lesion  on  initial  imaging  with  noncontrast-enhanced  MRI.  Normal  liver. (No suspicion or evidence of extrahepatic malignancy or underlying liver disease.) 
	Indeterminate  <1  cm  lesion  on  initial  imaging  with  ultrasound.  Known  history  of  an  extrahepatic malignancy. 
	Indeterminate <1 cm lesion on initial imaging with CT (without or with contrast). Known  history of an extrahepatic malignancy. 
	Indeterminate  <1  cm  lesion  on  initial  imaging  with  noncontrast-enhanced  MRI.  Known  history of an extrahepatic malignancy. 
	Indeterminate  <1  cm  lesion  on  initial  imaging  with  ultrasound.  Known  or  suspected  liver  disease associated with a high risk of hepatocellular carcinoma (chronic hepatitis, cirrhosis,  hemochromatosis, etc.) 
	Indeterminate <1 cm lesion on initial imaging with CT (without or with contrast). Known or  suspected  liver  disease  associated  with  a  high  risk  of  hepatocellular  carcinoma  (chronic  hepatitis, cirrhosis, hemochromatosis, etc.) 
	Indeterminate <1 cm lesion on initial imaging with noncontrast-enhanced MRI. Known or  suspected  liver  disease  associated  with  a  high  risk  of  hepatocellular  carcinoma  (chronic  hepatitis, cirrhosis, hemochromatosis, etc.) 
"
33,03_11.txt,Nonvariceal Upper Gastrointestinal Bleeding,x,,,,,,,,"	Endoscopy reveals nonvariceal upper gastrointestinal arterial bleeding source. 
	Endoscopy confirms nonvariceal upper gastrointestinal bleeding without a clear source. 
	Nonvariceal upper gastrointestinal bleeding; negative endoscopy.  
	Postsurgical and traumatic causes of nonvariceal upper gastrointestinal bleeding; endoscopy  contraindicated. 
"
34,03_12.txt,Palpable Abdominal Mass-Suspected Neoplasm,,,x,,,,,,"	Palpable abdominal mass. Suspected intra-abdominal neoplasm. Initial imaging. 
	Palpable abdominal mass. Suspected abdominal wall mass. Initial imaging. 
"
35,03_13.txt,Pancreatic Cyst,,,x,,,,,,"	Incidentally detected pancreatic cyst less than or equal to 2.5 cm in size. Initial evaluation. 
	Incidentally detected pancreatic cyst greater than 2.5 cm in size. No high-risk stigmata or  worrisome features. Initial evaluation. 
	Incidentally  detected  pancreatic  cyst  greater  than  2.5  cm  in  size.  High-risk  stigmata  or  worrisome features. Initial evaluation. 
	Incidentally detected main pancreatic duct dilation greater than 7 mm in size. Suspected main  duct intraductal papillary mucinous neoplasm (IPMN). Initial evaluation. 
	Follow-up imaging of pancreatic cyst. 
"
36,03_14.txt,Pretreatment Staging of Colorectal Cancer,,,x,,,,,,"	Pretreatment Staging of Colorectal Cancer  Rectal cancer. Locoregional staging. 
	Colorectal cancer. Staging for distant metastases. 
"
37,03_15.txt,Right Lower Quadrant Pain-Suspected Appendicitis,,,,x,,,,x,"	Right lower quadrant pain, fever, leukocytosis. Suspected appendicitis. Initial imaging. 
	Right lower quadrant pain, fever, leukocytosis. Possible appendicitis. Atypical presentation.  Initial imaging.  
	Pregnant woman. Right lower quadrant pain, fever, leukocytosis. Suspected appendicitis.  Initial imaging.  
"
38,03_16.txt,Right Upper Quadrant Pain,,,,x,,,,,"	Right upper quadrant pain. Suspected biliary disease. Initial imaging. 
	Right  upper  quadrant  pain.  No  fever  or  high  white  blood  cell  (WBC)  count.  Suspected  biliary disease. Negative or equivocal ultrasound. 
	Right upper quadrant pain. Fever, elevated WBC count. Suspected biliary disease. Negative  or equivocal ultrasound. 
	Right  upper  quadrant  pain.  Suspected  acalculous  cholecystitis.  Negative  or  equivocal  ultrasound. 
"
39,03_17.txt,Staging of Pancreatic Ductal Adenocarcinoma,,,x,,,,,,"	Pancreatic ductal adenocarcinoma. Initial staging pretreatment. 
	Pancreatic ductal adenocarcinoma. Follow-up post-neoadjuvant therapy. Evaluate  resectability for borderline resectable tumor. 
"
40,03_18.txt,Suspected Small-Bowel Obstruction,x,,,,,,,,"	Suspected Small-Bowel Obstruction  Suspected high-grade small-bowel obstruction (SBO), based on clinical evaluation or initial  radiography (if performed). 
	Suspected intermittent or low-grade SBO. 
"
41,04_01.txt,Abnormal Vaginal Bleeding,x,,,,,,,,"	Abnormal Vaginal Bleeding  Postmenopausal  vaginal  bleeding.  First  study.  (Endometrial  sampling  may  also  be  performed  initially  followed  by  imaging  if  results  are  inconclusive  or  symptoms  persist  despite negative findings.) 
	Postmenopausal vaginal bleeding, endometrium â‰¤5 mm by transvaginal ultrasound. (Some  centers may choose to use â‰¤4 mm rather than â‰¤5 mm. Please see narrative.) Follow-up study. 
	Abnormal Vaginal Bleeding  Postmenopausal  vaginal  bleeding,  endometrium  >5  mm  by  transvaginal  ultrasound.  (Endometrial  sampling  would  also  be  warranted  in  this  clinical  setting  to  evaluate  for  malignancy.)  (Some  centers  may  choose  to  use  >4  mm.  Please  see  narrative.)  Follow-up  study. 
	Premenopausal vaginal bleeding. First study. 
	Abnormal Vaginal Bleeding  Premenopausal vaginal bleeding, endometrium <16 mm by transvaginal ultrasound. Follow- up study. 
	Premenopausal vaginal bleeding, endometrium â‰¥16 mm by transvaginal ultrasound. Follow- up study. (Endometrial sampling may also be warranted in this clinical setting depending on  patient risk factors for malignancy.) 
	Abnormal Vaginal Bleeding  Heterogeneous  endometrium  or  suspected  focal  abnormality  at  transvaginal  ultrasound.  Follow-up study. 
	Endometrium not adequately visualized at transvaginal ultrasound. Follow-up study. 
"
42,04_02.txt,Acute Pelvic Pain in the Reproductive Age Group,x,,,,,,,,"	Acute Pelvic Pain in the Reproductive Age Group  Gynecological etiology suspected, serum Î²-hCG positive. 
	Acute Pelvic Pain in the Reproductive Age Group  Gynecological etiology suspected, serum Î²-hCG negative. 
	Acute Pelvic Pain in the Reproductive Age Group  Nongynecological etiology suspected, serum Î²-hCG positive. 
	Acute Pelvic Pain in the Reproductive Age Group   Nongynecological etiology suspected, serum Î²-hCG negative. 
"
43,04_03.txt,Assessment of Fetal Well-Being,,,,,,,,x,"	Assessment of Fetal Well-Being. Low-risk pregnancy. 
	Pregnancy at risk for adverse fetal outcome. 
	Preterm pregnancy. Abnormal antenatal testing. 
	Term and post-term pregnancy. Abnormal antenatal testing. 
"
44,04_04.txt,Assessment of Gravid Cervix,,,,,,,,x,"	Assessment of Gravid Cervix  Patient: 16â€“24 weeksâ€™ gestation; at risk for preterm delivery, cervix <3 cm long; suggestion  of funneling by transabdominal ultrasound examination; or postcerclage. 
"
45,04_05.txt,"Clinically Suspected Adnexal Mass, No Acute Symptoms",,,,,,,,x,"	Clinically suspected adnexal mass, no acute symptoms. Premenopausal. Initial imaging. 
	Clinically suspected adnexal mass, no acute symptoms. Postmenopausal. Initial imaging. 
	Adnexal mass, likely benign, no acute symptoms. Premenopausal. Initial follow-up. 
	Adnexal mass, likely benign, no acute symptoms. Postmenopausal. Initial follow-up. 
	Adnexal mass, indeterminate, no acute symptoms. Premenopausal. Initial follow-up. 
	Adnexal mass, indeterminate, no acute symptoms. Postmenopausal. Initial follow-up. 
	Adnexal  mass,  highly  suspicious  for  malignancy,  no  acute  symptoms.  Premenopausal  and  postmenopausal. Initial follow-up. 
	Clinically suspected adnexal  mass,  no acute symptoms. Pregnant. Initial imaging and  follow-up. 
"
46,04_06.txt,Female Infertility,,,,,,,,,"	Female infertility. Evaluation of ovulatory function and ovarian reserve. Initial imaging. 
	Female infertility. Clinical features or history of polycystic ovary syndrome. Initial imaging. 
	Female infertility. History or clinical suspicion of endometriosis. Initial imaging.
	Female infertility. Suspicion of tubal occlusion. Initial imaging. 
	Female infertility. Recurrent pregnancy loss. Initial imaging. 
"
47,04_07.txt,First Trimester Vaginal Bleeding,,,,,,,,,"	First trimester vaginal bleeding. Positive urine or serum pregnancy test. 
"
48,04_08.txt,Gestational Trophoblastic Disease,,,,,,,,,"	Suspected or initial diagnosis of gestational trophoblastic disease (GTD). 
	Staging and risk assessment: suspected or established diagnosis of gestational trophoblastic  neoplasia (GTN). 
	Surveillance of GTN, including refractory, relapsed, or quiescent GTN. 
	Assessment of complications: GTD and GTN. 
"
49,04_09.txt,Growth Disturbancesâ€“Risk of Fetal Growth Restriction,,,,,,,,,"	Growth disturbance. Low risk for fetal growth restriction. Initial evaluation. 
	Growth disturbance. High risk for fetal growth restriction. Initial evaluation. 
	Established fetal growth restriction. Follow-up evaluation. 
"
50,04_10.txt,Multiple Gestations,,,,,,,,,"	Known or suspected multiple gestations. Monochorionic or dichorionic. First trimester US. 
	Multiple gestations. Dichorionic. Second trimester US. Anatomy scan. 
	Multiple gestations. Monochorionic. Second trimester US. Anatomy scan. 
	Multiple gestations. Dichorionic. Growth and antepartum surveillance.  
	Multiple gestations. Monochorionic. Growth and antepartum surveillance. 
	Multiple gestations. Known twin discordance. Monochorionic or dichorionic.  
"
51,04_11.txt,Ovarian Cancer Screening,,,,,,,,,"	Ovarian cancer screening. Premenopausal. Average risk. 
	Ovarian cancer screening. Postmenopausal. Average risk. 
	Ovarian cancer screening. Premenopausal. High risk (personal history or family history or  known or suspected genetic predisposition or elevated CA-125). 
	Ovarian cancer screening. Postmenopausal. High risk (personal history or family history or  known or suspected genetic predisposition or elevated CA-125). 
"
52,04_12.txt,Pelvic Floor Dysfunction,,,,,,,,,"	Pelvic Floor Dysfunction  Protruding/bulging  vaginal  mass,  chronic  pelvic  pressure/discomfort,  clinically  suspected  pelvic organ prolapse. 
	Pelvic Floor Dysfunction  Urinary dysfunction. Involuntary leakage of urine, frequent urination, urgency. Straining to  void, incomplete voiding, splinting, or digital maneuvers to void. 
	Pelvic Floor Dysfunction  Anal incontinence. Involuntary leakage of stool/liquid/gas. 
	Pelvic Floor Dysfunction  Defecatory  dysfunction.  Straining  during  defecation,  difficulty  incomplete evacuation, or splinting or digital maneuvers to defecate.   initiating  defecation, 
	Pelvic Floor Dysfunction  Clinically suspected postoperative complication following pelvic floor repair. 
	Pelvic Floor Dysfunction  Clinically  suspected  recurrent  prolapse  and  pelvic  floor  dysfunction  following  pelvic  floor  repair. 
"
53,04_13.txt,Postmenopausal Subacute or Chronic Pelvic Pain,,,,,,,,,"	Postmenopausal subacute or chronic pelvic pain, localized to the deep pelvis. Initial imaging. 
	Postmenopausal  subacute  or  chronic  pelvic  pain,  clinically  suspected  pathologies  in  perineum, vulva, or vagina. Initial imaging. 
"
54,04_14.txt,Pretreatment Evaluation and Follow-Up of Endometrial Cancer,,,,,,,,,"	Pretreatment Evaluation and Follow-Up of Endometrial Cancer  Newly  diagnosed  endometrial  cancer;  when  imaging  is  indicated  for  treatment  planning.  (See narrative for clinical scenarios where imaging would be indicated.) 
	Pretreatment Evaluation and Follow-Up of Endometrial Cancer  Assessing the depth of myometrial invasion. 
	Lymph node evaluation. 
	Pretreatment Evaluation and Follow-Up of Endometrial Cancer   Assessing endocervical tumor extent. 
	Post-therapy evaluation in patients with clinically suspected recurrence. 
"
55,04_15.txt,Pretreatment Planning of Invasive Cancer of the Cervix,,,,,,,,,"	Pretreatment Planning of Invasive Cancer of the Cervix  FIGO stage Ib1, tumor size <4 cm. 
	Pretreatment Planning of Invasive Cancer of the Cervix  FIGO stage Ib2, tumor size >4 cm. 
	Pretreatment Planning of Invasive Cancer of the Cervix  FIGO stage >Ib. 
"
56,04_16.txt,Second and Third Trimester Bleeding,,,,,,,,,"	Second and Third Trimester Bleeding  No other signs or symptoms. 
	Cervix or internal cervical os not well seen by transabdominal ultrasound. 
