Abbreviation,Ambiguous,Case Sensitive,Full Text,Reverse Ambiguous
AJR,FALSE,FALSE,American Journal of Roentgenology,FALSE
AKA,FALSE,FALSE,above knee amputation,FALSE
AKI,FALSE,FALSE,acute kidney injury,FALSE
AKU,FALSE,FALSE,alkaptonuria,FALSE
Al,FALSE,FALSE,aluminum,FALSE
Ala,FALSE,FALSE,alanine,FALSE
ALARA,FALSE,FALSE,as low as reasonably achievable,FALSE
ALARP,FALSE,FALSE,as low as reasonably practicable,FALSE
ALCAPA,FALSE,FALSE,anomalous left coronary artery from the pulmonary artery,FALSE
ALD,TRUE,FALSE,adrenoleukodystrophy|alcoholic liver disease,FALSE
ALHE,FALSE,FALSE,angiolymphoid hyperplasia with eosinophilia,FALSE
ALI,FALSE,FALSE,acute lung injury,FALSE
ALIF,FALSE,FALSE,anterior lumbar interbody fusion,FALSE
ALL,TRUE,FALSE,acute lymphoblastic leukemia|anterior longitudinal ligament,FALSE
ALND,FALSE,FALSE,axillary lymph node dissection,FALSE
ALOC,FALSE,FALSE,altered level of consciousness,FALSE
ALP,FALSE,FALSE,alkaline phosphatase,FALSE
ALPSA,FALSE,FALSE,anterior labroligamentous periosteal sleeve avulsion,FALSE
ALS,TRUE,FALSE,amyotrophic lateral sclerosis|advanced life support,FALSE
ALT,TRUE,FALSE,alanine transaminase|anterolateral thigh free flap,FALSE
ALTE,FALSE,FALSE,acute life-threatening event,FALSE
AM,TRUE,TRUE,abdominal migraine|acute marginal artery,FALSE
Am,FALSE,TRUE,americium,FALSE
AMA,FALSE,FALSE,American Medical Association,FALSE
AmE,FALSE,FALSE,American English,FALSE
AMI,TRUE,FALSE,acute myocardial infarct|acute mitral insufficiency,FALSE
A-mode,FALSE,FALSE,amplitude mode,FALSE
AMP,FALSE,FALSE,adenosine monophosphate,FALSE
AMPA,FALSE,FALSE,α-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid,FALSE
AN,TRUE,FALSE,acoustic neuroma|aneurysm,FALSE
ANA,FALSE,FALSE,antinuclear antibodies,FALSE
anat,FALSE,FALSE,anatomy,FALSE
ANED,FALSE,FALSE,alive no evidence of disease,FALSE
ANOH,FALSE,FALSE,anatomic neck of humerus,FALSE
Ao,FALSE,FALSE,aorta,FALSE
AOD,FALSE,FALSE,atlanto-occipital dissociation injury,FALSE
AOM,FALSE,FALSE,acute otomastoiditis,FALSE
AP,FALSE,FALSE,anterior-posterior or anteroposterior,FALSE
APLA,FALSE,FALSE,antiphospholipid antibodies,FALSE
APML,FALSE,FALSE,acute promyelocytic leukemia,FALSE
APO,FALSE,FALSE,acute pulmonary edema,FALSE
APR,FALSE,FALSE,abdominoperineal resection,FALSE
APRV,FALSE,FALSE,airway pressure release ventilation,FALSE
APT,FALSE,FALSE,antiplatelet therapy,FALSE
APTT,FALSE,FALSE,activated partial thromboplastin time,FALSE
APW,FALSE,FALSE,aortopulmonary window,FALSE
AR,TRUE,TRUE,aortic regurgitation|augmented reality|autosomal recessive,FALSE
Ar,FALSE,TRUE,argon,FALSE
ARDS,FALSE,FALSE,acute respiratory distress syndrome,FALSE
ARF,FALSE,FALSE,acute renal failure,FALSE
Arg,FALSE,FALSE,arginine,FALSE
ARRS,FALSE,FALSE,American Roentgen Ray Society,FALSE
ARS,FALSE,FALSE,American Radium Society,FALSE
ART,FALSE,FALSE,assisted reproductive technology,FALSE
AS,TRUE,TRUE,ankylosing spondylitis|aortic sclerosis|aortic stenosis|associate specialist,FALSE
As,FALSE,TRUE,arsenic,FALSE
ASA,FALSE,FALSE,acetylsalicylic acid|aspirin,FALSE
ASB,FALSE,FALSE,anatomical snuff box,FALSE
ASD,TRUE,FALSE,atrial septal defect|autistic spectrum disorder,FALSE
aSDH,FALSE,FALSE,acute subdural hemorrhage,FALSE
ASIS,FALSE,FALSE,anterior superior iliac spine,FALSE
Asn,FALSE,FALSE,asparagine,FALSE
ASNR,FALSE,FALSE,American Society of Neuroradiology,FALSE
ASP triad,FALSE,FALSE,anorectal malformation or congenital anorectal stenosis sacrococcygeal osseous defect presacral mass,FALSE
Asp,FALSE,FALSE,aspartic acid,FALSE
ASPECTS,FALSE,FALSE,Alberta stroke program early CT score,FALSE
ASR,FALSE,FALSE,atraumatic splenic rupture,FALSE
AST,FALSE,FALSE,aspartate transaminase,FALSE
ASUC,FALSE,FALSE,acute severe ulcerative colitis,FALSE
AT,FALSE,TRUE,atrial tachycardia,FALSE
At,FALSE,TRUE,astatine,FALSE
ATA,FALSE,FALSE,anterior tibial artery,FALSE
ATECO,FALSE,FALSE,auto-triggered elliptic centric-ordered,FALSE
ATG,FALSE,FALSE,antithymocyte globulin,FALSE
ATFL,FALSE,FALSE,anterior talofibular ligament,FALSE
ATL,FALSE,FALSE,anterior temporal lobectomy,FALSE
ATLS,FALSE,FALSE,advanced trauma life support,FALSE
ATOR,FALSE,FALSE,at time of review,FALSE
ATP,FALSE,FALSE,adenosine triphosphate,FALSE
ATRA,FALSE,FALSE,all-trans retinoic acid,FALSE
ATRT,FALSE,FALSE,atypical teratoid rhabdoid tumor,FALSE
Au,FALSE,FALSE,gold,FALSE
AUR,FALSE,FALSE,acute urinary retention,FALSE
AV,TRUE,FALSE,aortic valve|atrioventricular,FALSE
AVF,FALSE,FALSE,arteriovenous fistula,FALSE
AVM,FALSE,FALSE,arteriovenous malformation,FALSE
AVNRT,FALSE,FALSE,AV nodal re-entry tachycardia,FALSE
AVR,FALSE,FALSE,aortic valve replacement,FALSE
AVSD,FALSE,FALSE,atrioventricular septal defect,FALSE
Ax,TRUE,FALSE,axial|axilla,FALSE
AXR,FALSE,FALSE,abdominal X-ray,FALSE
AZ,FALSE,FALSE,apical zone,FALSE
AZT,FALSE,FALSE,azidothymidine,FALSE
B,TRUE,FALSE,blood type|boron|class of vitamins,FALSE
Ba,FALSE,FALSE,barium,FALSE
BAC,FALSE,FALSE,bronchioloalveolar carcinoma,FALSE
BADASS,FALSE,FALSE,biochemical abnormality of doubtful actual sense or significance,FALSE
BAHA,FALSE,FALSE,bone-anchored hearing aid,FALSE
BAL,FALSE,FALSE,bronchoalveolar lavage,FALSE
B-ALL,FALSE,FALSE,B-cell acute lymphoblastic leukemia,FALSE
BARP,FALSE,FALSE,British Association for the Advancement of Radiology and Physiotherapy,FALSE
BAV,FALSE,FALSE,bicuspid aortic valve,FALSE
BBB,TRUE,FALSE,balloon breast brachytherapy|blood brain barrier|bundle branch block,FALSE
BBT,FALSE,FALSE,basal body temperature,FALSE
BC,TRUE,FALSE,blood culture|bone conduction,FALSE
BCC,TRUE,FALSE,basal cell carcinoma|branchial cleft cyst,FALSE
BCG,FALSE,FALSE,bacillus Calmette-Guérin vaccine,FALSE
BCT,FALSE,FALSE,broad complex tachycardia,FALSE
BCV,FALSE,FALSE,brachiocephalic vein,FALSE
BCVI,FALSE,FALSE,blunt cerebrovascular injury,FALSE
BD,FALSE,FALSE,twice a day,FALSE
BDFL,FALSE,FALSE,benevolent dictator for life,FALSE
BD-IPMN,FALSE,FALSE,branch duct type - intraductal papillary mucinous neoplasm,FALSE
BE,TRUE,TRUE,barium enema|base excess,FALSE
Be,FALSE,TRUE,beryllium,FALSE
Benzo,FALSE,FALSE,benzodiazepine,FALSE
BeS,FALSE,FALSE,beryllium sensitization,FALSE
BG,TRUE,FALSE,basal ganglia|blood glucose,FALSE
bHCG,FALSE,FALSE,beta human chorionic gonadotropin,FALSE
BHD,FALSE,FALSE,Birt-Hogg-Dubé syndrome,FALSE
BHR,FALSE,FALSE,Birmingham hip resurfacing,FALSE
Bi,FALSE,FALSE,bismuth,FALSE
BIAD,FALSE,FALSE,blind insertion airway device,FALSE
BIBA,FALSE,FALSE,brought in by ambulance,FALSE
bicarb,FALSE,FALSE,sodium bicarbonate,FALSE
BID,TRUE,FALSE,brought in dead|twice a day,FALSE
bil dil,FALSE,FALSE,biliary dilatation,FALSE
BiPAP,FALSE,FALSE,bilevel positive airway pressure,FALSE
BIR,FALSE,FALSE,British Institute of Radiology,FALSE
BI-RADS,FALSE,FALSE,breast imaging - reporting and data system,FALSE
BiVAD,FALSE,FALSE,biventricular assist device,FALSE
BJP,FALSE,FALSE,Bence-Jones proteins,FALSE
BJR,FALSE,FALSE,British Journal of Radiology,FALSE
BK,FALSE,TRUE,bradykinin,FALSE
Bk,FALSE,TRUE,berkelium,FALSE
BKA,FALSE,FALSE,below-the-knee amputation,FALSE
BL,FALSE,FALSE,Burkitt lymphoma,FALSE
B/L,FALSE,FALSE,bilateral,FALSE
Bld,FALSE,FALSE,blood,FALSE
BLS,FALSE,FALSE,basic life support,FALSE
BM,TRUE,FALSE,bachelor of medicine|blood sugar|bone marrow|bowel movement,FALSE
BMD,TRUE,FALSE,Becker muscular dystrophy|bone mineral density,FALSE
BMI,FALSE,FALSE,body mass index,FALSE
B-mode,FALSE,FALSE,brightness mode,FALSE
BMP,FALSE,FALSE,basic metabolic panel,FALSE
BMR,FALSE,FALSE,basic metabolic rate,FALSE
BMS,TRUE,FALSE,bare metal stent|bowel management system,FALSE
BMT,FALSE,FALSE,bone marrow transplant,FALSE
BNF,FALSE,FALSE,British National Formulary,FALSE
BNO,FALSE,FALSE,bowel not opening,FALSE
BNP,FALSE,FALSE,brain natriuretic peptide,FALSE
BO,TRUE,FALSE,bowel opening|branchio-otic syndrome,FALSE
B/O,FALSE,FALSE,because of,FALSE
BOFS,FALSE,FALSE,branchio-oculo-facial syndrome,FALSE
BOLD,FALSE,FALSE,blood oxygenation level dependent contrast,FALSE
BOM,FALSE,FALSE,bilateral otitis media,FALSE
BOO,FALSE,FALSE,bladder outlet obstruction,FALSE
BOOP,FALSE,FALSE,bronchiolitis obliterans organizing pneumonia,FALSE
BOR,FALSE,FALSE,branchio-oto-renal syndrome,FALSE
BOS,FALSE,FALSE,bronchiolitis obliterans syndrome,FALSE
BP,TRUE,FALSE,base pair|Bell palsy|bipolar disorder|blood pressure|British Pharmacopoeia,FALSE
BPA,FALSE,FALSE,balloon pulmonary angioplasty,FALSE
BPAD,FALSE,FALSE,bipolar affective disorder,FALSE
BPD,TRUE,FALSE,biliopancreatic diversion|biparietal diameter|bipolar disorder|borderline-personality disorder|bronchopulmonary dysplasia,FALSE
BPDCN,FALSE,FALSE,blastic plasmacytoid dendritic cell neoplasm,FALSE
BPE,FALSE,FALSE,benign prostatic enlargement,FALSE
BPG,FALSE,FALSE,bypass graft,FALSE
BPH,TRUE,FALSE,benign prostatic hyperplasia|benign prostatic hypertrophy,FALSE
BPI,FALSE,FALSE,best possible image,FALSE
BPM,FALSE,FALSE,beats per minute,FALSE
BPOP,FALSE,FALSE,bizarre parosteal osteochondromatous proliferation,FALSE
BPPV,FALSE,FALSE,benign paroxysmal positional vertigo,FALSE
BPV,FALSE,FALSE,benign positional vertigo,FALSE
Bq,FALSE,FALSE,becquerel,FALSE
Br,FALSE,FALSE,bromine,FALSE
BRBPR,FALSE,FALSE,bright red blood per rectum,FALSE
BRCA,FALSE,FALSE,breast cancer,FALSE
BRCA1,FALSE,FALSE,breast cancer 1,FALSE
BRCA2,FALSE,FALSE,breast cancer 2,FALSE
BRET,FALSE,FALSE,background radiation equivalent time,FALSE
BRIC,FALSE,FALSE,benign recurrent intrahepatic cholestasis,FALSE
Bronch,FALSE,FALSE,bronchoscopy,FALSE
BRONJ,FALSE,FALSE,bisphosphonate-related osteonecrosis of the jaw,FALSE
BS,FALSE,FALSE,Bachelor of Surgery,FALSE
BSA,FALSE,FALSE,body surface area,FALSE
BSc,FALSE,FALSE,Bachelor of Science,FALSE
BSL,TRUE,FALSE,blood sugar level|British sign language,FALSE
BSO,FALSE,FALSE,bilateral salpingo-oophorectomy,FALSE
bSSFP,FALSE,FALSE,balanced steady state free precession,FALSE
BSSO,FALSE,FALSE,bilateral sagittal split osteotomy,FALSE
BST,FALSE,FALSE,basic surgical training,FALSE
BT,FALSE,FALSE,bleeding time,FALSE
BTM,FALSE,FALSE,Biodegradable Temporising Matrix,FALSE
BTS,FALSE,FALSE,British Thoracic Society,FALSE
BUN,FALSE,FALSE,blood urea nitrogen,FALSE
BV,FALSE,FALSE,bacterial vaginosis,FALSE
BW,TRUE,FALSE,bandwidth|birth weight,FALSE
Bx,FALSE,FALSE,biopsy,FALSE
C,TRUE,FALSE,cesarean|carbon|Celsius|cervical|coulomb|cysteine|cytosine,FALSE
C1-C3,FALSE,FALSE,cruciate pulleys,FALSE
C1-C7,TRUE,FALSE,cervical spinal nerve roots|cervical vertebrae,FALSE
C2H5OH,FALSE,FALSE,ethanol,FALSE
C8,FALSE,FALSE,eighth cervical nerve root,FALSE
CA,TRUE,TRUE,calcification|cancer|carcinoma,FALSE
Ca,FALSE,TRUE,calcium,FALSE
CA 15-3,FALSE,FALSE,carcinoma antigen 15-3,FALSE
CA 19-9,FALSE,FALSE,cancer antigen 19-9,FALSE
CA 27-29,FALSE,FALSE,cancer antigen 27-29,FALSE
CA-125,FALSE,FALSE,cancer antigen 125,FALSE
CAA,FALSE,FALSE,coronary artery aneurysm,FALSE
CABG,FALSE,FALSE,coronary artery bypass graft,FALSE
CAC,FALSE,FALSE,coronary artery calcification,FALSE
CAD,TRUE,FALSE,computer-aided diagnosis|coronary artery disease,FALSE
CADASIL,FALSE,FALSE,cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy,FALSE
CAE,FALSE,FALSE,coronary artery ectasia,FALSE
CAG,FALSE,FALSE,coronary artery graft,FALSE
CAGS,FALSE,FALSE,coronary artery graft surgery,FALSE
CAH,FALSE,FALSE,congenital adrenal hyperplasia,FALSE
CAIPIRINHA,FALSE,FALSE,controlled aliasing in parallel imaging results in higher acceleration,FALSE
CANVAS,FALSE,FALSE,cerebellar ataxia with neuropathy and vestibular areflexia syndrome,FALSE
CAP,TRUE,FALSE,chest-abdomen-pelvis|community-acquired pneumonia,FALSE
CAPD,FALSE,FALSE,continuous ambulatory peritoneal dialysis,FALSE
CARASIL,FALSE,FALSE,cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy,FALSE
CAS,FALSE,FALSE,carotid artery stenosis,FALSE
CASA,FALSE,FALSE,computer-assisted semen analysis,FALSE
CASH,FALSE,FALSE,chemotherapy-associated steatohepatitis,FALSE
CAT,TRUE,FALSE,computed axial tomography or computer-aided tomography|critically-appraised topic,FALSE
CBAVD,FALSE,FALSE,congenital bilateral absence of vas deferens,FALSE
CBC,FALSE,FALSE,complete blood count,FALSE
CBCT,FALSE,FALSE,cone beam CT,FALSE
CBD,FALSE,FALSE,common bile duct,FALSE
CBF,FALSE,FALSE,cerebral blood flow,FALSE
CBH,FALSE,FALSE,change in bowel habit,FALSE
CBI,FALSE,FALSE,continuous bladder irrigation,FALSE
CBV,FALSE,FALSE,cerebral blood volume,FALSE
CC,TRUE,FALSE,caudocranial|caudocraniad|chief complaint|copy to|corpus callosum|craniocaudad|craniocaudal|Creative Commons|cubic centimeter,FALSE
CCA,FALSE,FALSE,common carotid artery,FALSE
CCC,FALSE,FALSE,continuous curvilinear capsulorrhexis,FALSE
CCCT,FALSE,FALSE,clomiphene citrate challenge test,FALSE
CCD,TRUE,FALSE,caput-collum-diaphyseal|charge-coupled device|crossed cerebellar diaschisis,FALSE
CCF,TRUE,FALSE,caroticocavernous fistula|congestive cardiac failure,FALSE
CCL,FALSE,FALSE,corpus callosum lipoma,FALSE
CCP:,TRUE,FALSE,central chest pain|cyclic citrullinated peptide,FALSE
CCS,FALSE,FALSE,combined conduit score,FALSE
CCST,FALSE,FALSE,Certificate of Completion of Specialist Training,FALSE
CCT,FALSE,FALSE,Certificate of Completion of Training,FALSE
CCU,TRUE,FALSE,coronary care unit|critical care unit,FALSE
CD,TRUE,TRUE,clinical director|Clostridioides difficile|cluster of differentiation|common duct|compact disc|Crohn disease|cystic duct,FALSE
Cd,FALSE,TRUE,cadmium,FALSE
cd,FALSE,TRUE,candela,FALSE
CDC,FALSE,FALSE,Centers for Disease Control and Prevention,FALSE
CDE,FALSE,FALSE,complete dental evaluation,FALSE
CDH,TRUE,FALSE,congenital diaphragmatic hernia|congenital dislocation of the hip,FALSE
CDR,FALSE,FALSE,clinical decision rules,FALSE
CD-ROM,FALSE,FALSE,compact disc - read only memory disc,FALSE
CDS,TRUE,FALSE,carotid duplex study|clinical decision support,FALSE
CDT,TRUE,FALSE,catheter-directed therapy|catheter-directed thrombolysis|_Clostridioides difficile_ toxin,FALSE
CE,FALSE,TRUE,contrast-enhanced,FALSE
Ce,FALSE,TRUE,cerium,FALSE
CEA,TRUE,FALSE,carcinoembryonic antigen|carotid endarterectomy,FALSE
CECT,FALSE,FALSE,contrast-enhanced computed tomography,FALSE
CEMR,FALSE,FALSE,contrast-enhanced magnetic resonance,FALSE
CEMRI,FALSE,FALSE,contrast-enhanced magnetic resonance imaging,FALSE
CES,FALSE,FALSE,cauda equina syndrome,FALSE
CEUS,FALSE,FALSE,contrast-enhanced ultrasound,FALSE
CF,FALSE,TRUE,cystic fibrosis,FALSE
cf,FALSE,TRUE,compare with,FALSE
CFA,FALSE,FALSE,common femoral artery,FALSE
CFC,FALSE,FALSE,cardiofaciocutaneous syndrome,FALSE
CFDM,FALSE,FALSE,cystic fibrosis - related diabetes mellitus,FALSE
CFL,FALSE,FALSE,calcaneofibular ligament,FALSE
CFV,FALSE,FALSE,common femoral vein,FALSE
cgs,FALSE,FALSE,centimeter-gram-second,FALSE
CHALICE,FALSE,FALSE,children's head injury algorithm for prediction of clinically important event,FALSE
CHB,FALSE,FALSE,complete heart block,FALSE
CHD,TRUE,FALSE,common hepatic duct|congenital heart disease|coronary heart disease,FALSE
chem,FALSE,FALSE,chemistry,FALSE
CHESS,FALSE,FALSE,chemical shift selective pulses,FALSE
CHF,FALSE,FALSE,congestive heart failure,FALSE
CHILD syndrome,FALSE,FALSE,congenital hemidysplasia with ichthyosiform erythroderma and limb defects,FALSE
CHL,TRUE,FALSE,conductive hearing loss|coracoacromial ligament,FALSE
CHO,FALSE,FALSE,carbohydrate,FALSE
Chol,FALSE,FALSE,cholesterol,FALSE
CHOP,FALSE,FALSE,cyclophosphamide doxorubicin Oncovin prednisolone,FALSE
CI,TRUE,TRUE,compound imaging|confidence interval|contraindication,FALSE
Ci,FALSE,TRUE,curie,FALSE
C/I,FALSE,FALSE,contraindication,FALSE
CIA,FALSE,FALSE,common iliac artery,FALSE
CIDP,FALSE,FALSE,chronic inflammatory demyelinating polyneuropathy,FALSE
CIED,FALSE,FALSE,cardiac implantable electronic device,FALSE
CIN,TRUE,FALSE,cervical intraepithelial neoplasia|contrast-induced nephropathy|contrast-induced neurotoxicity,FALSE
CIRSE,FALSE,FALSE,Cardiovascular and Interventional Radiology Society of Europe,FALSE
CIS,FALSE,FALSE,clinically isolated syndrome,FALSE
CISS,FALSE,FALSE,constructive interference in steady state,FALSE
CIV,FALSE,FALSE,common iliac vein,FALSE
CJD,FALSE,FALSE,Creutzfeldt-Jakob disease,FALSE
CK,FALSE,FALSE,creatine kinase,FALSE
CKD,FALSE,FALSE,chronic kidney disease,FALSE
Cl,FALSE,FALSE,chlorine,FALSE
CLABSI,FALSE,FALSE,central line-associated blood stream infection,FALSE
CLEAR,FALSE,FALSE,constant level appearance,FALSE
CLIPPERS,FALSE,FALSE,chronic lymphocytic inflammation with pontine perivascular enhancement responsive to steroids,FALSE
cm,FALSE,FALSE,centimeter,FALSE
CMCJ,FALSE,FALSE,carpometacarpal joint,FALSE
CME,FALSE,FALSE,continuing medical education,FALSE
CMF,FALSE,FALSE,chondromyxoid fibroma,FALSE
CMP,FALSE,FALSE,cardiomyopathy,FALSE
CMR,FALSE,FALSE,complete metabolic response,FALSE
CMT,FALSE,FALSE,Charcot-Marie-Tooth disease,FALSE
CMV,FALSE,FALSE,cytomegalovirus,FALSE
CN,FALSE,FALSE,cranial nerve,FALSE
CNLD,FALSE,FALSE,chronic neonatal lung disease,FALSE
CNN,FALSE,FALSE,convolutional neural network,FALSE
CNR,FALSE,FALSE,contrast-to-noise ratio,FALSE
CNS,FALSE,FALSE,central nervous system,FALSE
CO,TRUE,TRUE,carbon monoxide|cardiac output,FALSE
Co,TRUE,TRUE,cobalt|coccygeal vertebrae,FALSE
C/O,FALSE,FALSE,complaining of,FALSE
CoA,FALSE,FALSE,coarctation of aorta,FALSE
COAD,FALSE,FALSE,chronic obstructive airways disease,FALSE
COAG,FALSE,FALSE,chronic open-angle glaucoma,FALSE
COBH,FALSE,FALSE,change of bowel habit,FALSE
COCP,FALSE,FALSE,combined oral contraceptive pill,FALSE
COH,FALSE,FALSE,controlled ovarian hyperstimulation,FALSE
COLD,FALSE,FALSE,Cowden-Lhermitte-Duclos syndrome,FALSE
COM,FALSE,FALSE,chronic otomastoiditis,FALSE
COP,TRUE,FALSE,combined oral contraceptive pill|cryptogenic organizing pneumonia,FALSE
COPD,FALSE,FALSE,chronic obstructive pulmonary disease,FALSE
Cor,FALSE,TRUE,coronal,FALSE
CoR,FALSE,TRUE,College of Radiographers,FALSE
COW,FALSE,FALSE,circle of Willis,FALSE
CP,TRUE,FALSE,ceruloplasmin|cerebral palsy|cervical position|chest pain|cross-polarization,FALSE
CPA,TRUE,FALSE,cerebellopontine angle|costophrenic angle,FALSE
CPAM,FALSE,FALSE,congenital pulmonary airway malformation,FALSE
CPAP,FALSE,FALSE,continuous positive airway pressure,FALSE
CPB,FALSE,FALSE,cardiopulmonary bypass,FALSE
CPC,FALSE,FALSE,choroid plexus cyst,FALSE
CPD,FALSE,FALSE,continuing professional development,FALSE
CPE,FALSE,FALSE,carbapenem-producing enterobacteriaceae,FALSE
CPFE,FALSE,FALSE,combined pulmonary fibrosis and emphysema,FALSE
CPFI,FALSE,FALSE,chest pain for investigation,FALSE
CPK,FALSE,FALSE,creatine phosphokinase,FALSE
CPR,FALSE,FALSE,cardiopulmonary resuscitation,FALSE
CQC,FALSE,FALSE,Care Quality Commission,FALSE
CR,FALSE,TRUE,complete response,FALSE
Cr,TRUE,TRUE,chromium|creatinine,FALSE
CRA,FALSE,FALSE,coral reef aorta,FALSE
CRAO,FALSE,FALSE,central retinal artery occlusion,FALSE
CRC,FALSE,FALSE,colorectal cancer,FALSE
CRE,FALSE,FALSE,carbapenem-resistant enterobacteriaceae,FALSE
